Entry#,melt,diffusing species,type of diffusion,type of experiment,T(K),P(MPa),PH2O(Mpa),C range(wt%),D(m2/s),1s error,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2Ot,Composition unit,dry total,Ref#,Ref# (Repeat but for checking it copied over correctly),author,year,journal,Vol,Page,Comments,doi,title
2,Albite melt,Li,Tracer,thin source,1183.15,0.1,,,7.2e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
3,Albite melt,Li,Tracer,thin source,1063.15,0.1,,,6.8e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
4,Albite melt,Li,Tracer,thin source,958.15,0.1,,,1e-10,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
5,Albite melt,Li,Tracer,thin source,855.15,0.1,,,2.3e-11,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
6,Albite melt,Li,Tracer,thin source,742.15,0.1,,,3.6e-12,,68.4,,19.5,,,,,11.9,,,,wt%,99.80000000000001,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
7,Ab39Or61 melt,Li,Tracer,thin source,1053.15,0.1,,,5.3e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
8,Ab39Or61 melt,Li,Tracer,thin source,958.15,0.1,,,3e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
9,Ab39Or61 melt,Li,Tracer,thin source,855.15,0.1,,,1.5e-11,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
10,Ab39Or61 melt,Li,Tracer,thin source,728.15,0.1,,,1.4e-12,,65.17,,18.2,,,,,5.02,11.81,,,wt%,100.2,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
11,Rhyolite5,Li,Tracer,thin source,1182.15,0.1,,,1.7e-10,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
13,Rhyolite5,Li,Tracer,thin source,966.15,0.1,,,1.9e-11,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
14,Rhyolite5,Li,Tracer,thin source,866.15,0.1,,,1e-11,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
15,Rhyolite5,Li,Tracer,thin source,760.15,0.1,,,8e-13,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
16,Rhyolite5,Li,Tracer,thin source,685.15,0.1,,,3.1e-13,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
17,Rhyolite5,Li,Tracer,thin source,570.15,0.1,,,9e-15,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Jambon1978EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(78)90060-2,OBSIDIAN COMPOSITION: AN ION-MICROPROBE DETERMINATION
12,Rhyolite5,Li,Tracer,thin source,1067.15,0.1,,,1e-10,,73.01,0.2,12.57,2.71,0.05,0.54,0.41,5.25,4.6,,0.52,wt%,99.33999999999999,Cunningham1983EPSL,Jambon1978EPSL,Jambon,1978,EPSL,37,445.0,H2O conc. may be inaccurate,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
24,Andesite2,Li-6,Tracer,thin source,1673.15,0.1,,,1.89e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
25,Andesite2,Li-6,Tracer,thin source,1671.15,0.1,,,2.4e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
26,Andesite2,Li-6,Tracer,thin source,1623.15,0.1,,,1.58e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
27,Andesite2,Li-6,Tracer,thin source,1573.15,0.1,,,1.31e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
28,Andesite2,Li-6,Tracer,thin source,1571.15,0.1,,,1.51e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
29,Andesite2,Li-6,Tracer,thin source,1623.15,0.1,,,1.73e-09,,57.8,0.85,19.14,6.281000000000001,0.11,3.45,6.27,4.31,1.79,0.2,,wt%,100.201,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
30,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1672.15,0.1,,,2.35e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
31,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1672.15,0.1,,,2.48e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
32,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1624.15,0.1,,,2.18e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
33,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1626.15,0.1,,,2.44e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
34,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1573.15,0.1,,,1.74e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
35,Dacite5 (Pitchstone),Li-6,Tracer,thin source,1573.15,0.1,,,1.64e-09,,69.0,1.02,13.11,4.916,0.13,1.0,2.7,4.21,2.72,0.24,,wt%,99.04599999999998,Cunningham1983EPSL,Cunningham1983EPSL,Cunningham,1983,EPSL,65,203.0,,10.1016/0012-821x(83)90199-1,Lithium diffusion in silicate melts
18,Basalt1,Li-6,Tracer,thin source,1569.15,0.1,,,1.05e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
19,Basalt1,Li-6,Tracer,thin source,1569.15,0.1,,,1.1e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
20,Basalt1,Li-6,Tracer,thin source,1619.15,0.1,,,1.3e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
21,Basalt1,Li-6,Tracer,thin source,1619.15,0.1,,,1.42e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
22,Basalt1,Li-6,Tracer,thin source,1663.15,0.1,,,1.84e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
23,Basalt1,Li-6,Tracer,thin source,1673.15,0.1,,,1.82e-09,,45.89,3.72,16.55,11.513,0.18,6.3,9.62,3.79,1.73,0.52,,wt%,99.81300000000002,Lowry1981EPSL,Lowry1981EPSL,Lowry,1981,EPSL,53,36.0,,10.1016/0012-821x(81)90023-6,[5] LITHIUM TRACER-DIFFUSION IN AN ALKALI-BASALTIC MELT -AN ION-MICROPROBE DETERMINATION
49,Orthoclase melt,Na-24,Tracer,thin source,1068.15,0.1,,,1.2e-10,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
50,Orthoclase melt,Na-24,Tracer,thin source,913.15,0.1,,,7.900000000000001e-12,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
51,Orthoclase melt,Na-24,Tracer,thin source,775.15,0.1,,,7.8e-12,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
52,Orthoclase melt,Na-24,Tracer,thin source,675.15,0.1,,,3.900000000000001e-13,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
53,Orthoclase melt,Na-24,Tracer,thin source,623.15,0.1,,,3.9e-14,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
54,Albite melt,Na-24,Tracer,thin source,1068.15,0.1,,,1.1e-10,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
55,Albite melt,Na-24,Tracer,thin source,913.15,0.1,,,1e-10,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
56,Albite melt,Na-24,Tracer,thin source,775.15,0.1,,,1.8e-11,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
57,Albite melt,Na-24,Tracer,thin source,623.15,0.1,,,2.1e-12,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
165,Albite melt,K-42,Tracer,thin source,1262.15,0.1,,,1.8e-11,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
166,Albite melt,K-42,Tracer,thin source,1190.15,0.1,,,8e-12,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
167,Albite melt,K-42,Tracer,thin source,1071.15,0.1,,,3.4e-12,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
168,Albite melt,K-42,Tracer,thin source,900.15,0.1,,,3.900000000000001e-13,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
169,Albite melt,K-42,Tracer,thin source,736.15,0.1,,,2e-14,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
170,Albite melt,K-42,Tracer,thin source,610.15,0.1,,,8e-16,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
171,Orthoclase melt,K-42,Tracer,thin source,1226.15,0.1,,,1.15e-11,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
172,Orthoclase melt,K-42,Tracer,thin source,1077.15,0.1,,,4e-12,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
173,Orthoclase melt,K-42,Tracer,thin source,873.15,0.1,,,9.500000000000002e-13,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
174,Orthoclase melt,K-42,Tracer,thin source,723.15,0.1,,,1e-13,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
175,Orthoclase melt,K-42,Tracer,thin source,633.115,0.1,,,1.6e-14,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
206,Albite melt,Rb-86,Tracer,thin source,1268.15,0.1,,,1.2e-12,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
207,Albite melt,Rb-86,Tracer,thin source,968.15,0.1,,,2.6e-14,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
208,Albite melt,Rb-86,Tracer,thin source,793.15,0.1,,,5.500000000000001e-16,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
209,Orthoclase melt,Rb-86,Tracer,thin source,1268.15,0.1,,,1.2e-11,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
210,Orthoclase melt,Rb-86,Tracer,thin source,968.15,0.1,,,8.000000000000001e-13,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
211,Orthoclase melt,Rb-86,Tracer,thin source,793.15,0.1,,,4.300000000000001e-14,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
256,Albite melt,Cs-134,Tracer,thin source,1313.15,0.1,,,1.1e-13,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
257,Albite melt,Cs-134,Tracer,thin source,1210.15,0.1,,,1.1e-14,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
258,Albite melt,Cs-134,Tracer,thin source,1133.15,0.1,,,1.5e-15,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
259,Albite melt,Cs-134,Tracer,thin source,978.15,0.1,,,1.5e-17,,69.0,,20.44,,,,,10.9,,,,wt%,100.34,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
260,Orthoclase melt,Cs-134,Tracer,thin source,1313.15,0.1,,,2.4e-12,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
261,Orthoclase melt,Cs-134,Tracer,thin source,1133.15,0.1,,,1.3e-13,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
262,Orthoclase melt,Cs-134,Tracer,thin source,855.15,0.1,,,5.4e-16,,64.62,,18.25,,,,,0.15,16.5,,,wt%,99.52,Jambon1976GCA,Jambon1976GCA,Jambon,1976,GCA,40,897.0,,10.1016/0016-7037(76)90138-1,"Diffusion of Na, K. Rb and Cs in glasses of albite and ortboclase composition"
58,Rhyolite15,Na22,Tracer,thin source,970.6427978931625,0.1,,,3.288294055462658e-11,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.25999999999999,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
59,Rhyolite15,Na22,Tracer,thin source,1076.427398899068,0.1,,,9.149479358527103e-11,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.25999999999999,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
656,Rhyolite15,Sr85,Tracer,thin source,948.1572754542425,0.1,,,7.928129151384154e-16,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
657,Rhyolite15,Sr85,Tracer,thin source,973.6200187509852,0.1,,,1.003629530320105e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
658,Rhyolite15,Sr85,Tracer,thin source,973.6523319200485,0.1,,,1.13396236896843e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
659,Rhyolite15,Sr85,Tracer,thin source,973.7088851272861,0.1,,,1.404082938821635e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
660,Rhyolite15,Sr85,Tracer,thin source,1023.443325672971,0.1,,,3.351520472093728e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
661,Rhyolite15,Sr85,Tracer,thin source,1024.280816910813,0.1,,,5.29660334194123e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
662,Rhyolite15,Sr85,Tracer,thin source,1053.315411180999,0.1,,,6.706395066790373e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
663,Rhyolite15,Sr85,Tracer,thin source,1053.391053391053,0.1,,,8.561296856897573e-15,,76.87,0.07,12.2,0.94,0.05,0.05,0.3,4.38,4.4,,0.11,wt%,99.26,Magaritz1978GCA,Magaritz1978GCA,Magaritz,1978,GCA,42,595.0,read from figure,10.1016/0016-7037(78)90097-2,DIFFUSION OF Eu AND Gd IN BASALT AND OBSIDIAN
